Actual,Predicted
90.17513785851489,90.57579
88.78083656584117,90.61237
90.20435421719472,90.53572
91.85634450784185,90.52887
91.29265301478283,90.712494
90.93601446290474,90.941956
91.19897605376609,91.14783
91.50663585597701,91.34535
92.1124169516023,91.54699
93.96156204094056,91.78804
93.79879198919575,92.20435
93.06445505924509,92.669975
91.795648165257,93.05253
91.12328091707742,93.2274
91.09280810795134,93.197784
92.74358433338648,93.04449
92.2674445310228,92.985344
92.47330238471172,92.93727
92.45819530628263,92.9221
93.55137341001318,92.92615
95.87584566956815,93.04605
95.38751059440655,93.44744
94.93728549332481,93.93041
95.89778723385731,94.37644
96.52504494579038,94.854576
98.2237923702318,95.36506
98.76093568853531,96.01681
98.43043041282606,96.74056
98.97376143143916,97.400665
99.99363465430274,98.01477
100.74837904324028,98.6437
101.21500980915553,99.29271
102.1962215346975,99.93356
103.27183207947542,100.60811
104.54325121204302,101.34608
105.13998586262623,102.18181
104.98625743768339,103.04835
105.12121628767851,103.81867
106.23105863836321,104.463295
105.47957660995311,105.088554
105.81871147186662,105.53219
105.45688732947978,105.862305
105.4833290905786,106.03788
106.65935020589575,106.10442
106.83513823959655,106.23312
106.8778542485065,106.39093
105.62695104099375,106.55069
106.31341408015655,106.54327
106.90718147087942,106.529175
108.8971142222217,106.57304
108.61399546450673,106.87723
108.81558726494876,107.25072
109.04499009695004,107.654175
110.49605635895604,108.05727
110.40839599288337,108.59079
110.66506205558886,109.11631
111.22425333393413,109.61141
111.39591116131227,110.09853
110.98524622143094,110.53933
111.16378554433878,110.84697
112.15139692403909,111.065445
111.20712698113991,111.32525
111.32944300184222,111.44533
110.68541651502373,111.49426
111.78471490122813,111.40944
110.38356714197882,111.39881
109.86942663076478,111.240166
110.21641594103849,110.96462
111.6565087351162,110.69842
111.59602644585601,110.64042
111.08531001944813,110.686966
112.81574704222234,110.72929
111.48374935660799,110.98943
109.46111376969054,111.16115
109.8658738544794,111.02545
109.40404467956724,110.79919
108.46463398157566,110.47948
109.11623625426206,110.02919
109.34050342904611,109.64277
108.82161930063417,109.35552
107.64389407615859,109.09396
108.44644931525703,108.7414
109.04455577264372,108.486115
108.95332597092361,108.38024
110.65200870055644,108.35946
109.66766011678395,108.603065
108.26436143544251,108.84112
107.62788968094154,108.89213
107.58595605843664,108.76572
107.80979892570699,108.54924
107.58789092423063,108.32935
107.91173931631464,108.10164
106.76047438992298,107.93602
108.0885632367529,107.68403
108.01299408685874,107.58112
109.04077114161915,107.5548
109.35603701582468,107.703926
109.77619474403079,107.97095
110.30031174207195,108.32986
110.71214947760846,108.76612
111.30337669468776,109.24702
112.52603629309074,109.77101
112.70681200466461,110.409195
113.3590097245403,111.05262
113.27646373718947,111.70728
114.60119742755022,112.27397
113.97899830318316,112.89322
115.63564572064026,113.37144
115.59870526219443,113.9321
114.28256518639265,114.445404
114.4004057569349,114.69549
113.77392058902346,114.791084
114.54721099829214,114.69503
113.94687585664929,114.60204
113.53644105334337,114.42742
111.79829207578868,114.177635
111.38222495774833,113.69195
109.15254908768236,113.09366
107.69555002537048,112.21988
108.39503955499467,111.133965
109.1178806771534,110.14905
109.50925018504401,109.40949
108.61974906608228,108.93712
108.575860387983,108.567894
108.57254648766092,108.311554
107.50699105020391,108.155174
108.8899356876378,107.95137
109.69700289890987,107.92444
109.49374257933682,108.09133
109.51847430001038,108.32699
109.7101612843882,108.58762
107.8320121046065,108.86047
107.60463880290061,108.87948
106.97729576448269,108.74038
106.05592647744648,108.44781
105.79734820037193,107.991776
107.451002417735,107.4675
108.04050035543075,107.15739
107.51508475531563,107.060486
108.04179167392311,107.03546
